ticker,company_name,segment,sub_segment
BBNX,"Beta Bionics, Inc.",medical_equipment_and_services,
CON,"Concentra Group Holdings Parent, Inc.",medical_equipment_and_services,
CV,"CapsoVision, Inc.",medical_equipment_and_services,
HIMS,"Hims & Hers Health, Inc.",medical_equipment_and_services,
NAKA,Nakamoto Inc.,medical_equipment_and_services,
NVST,Envista Holdings Corp,medical_equipment_and_services,
PARK,"Park Dental Partners, Inc. Common Stock",medical_equipment_and_services,
PFSA,"Profusa, Inc. Common Stock",medical_equipment_and_services,
